Source file,Module,Requirement responsibilities,State,Existing test location
app/public/app.mjs,A02,"F05, F06, F09, F11, F14, E01, E04, E10, NFR-01, NFR-02, NFR-10",Reference code / comments added,Home-view separation test; static responsive prototype included
app/public/service-worker.mjs,A02,"F05, F06, F09, F11, F14, E01, E04, E10, NFR-01, NFR-02, NFR-10",Reference code / comments added,Home-view separation test; static responsive prototype included
app/src/features/home/index.mjs,A02,"F05, F06, F09, F11, F14, E01, E04, E10, NFR-01, NFR-02, NFR-10",Reference code / comments added,Home-view separation test; static responsive prototype included
app/src/features/incidents/index.mjs,A04,"F07, F12, F13, NFR-10",Reference code / comments added,Incident ownership/action and command-path test
app/src/features/onboarding/index.mjs,A01,"F01, F02, F03, NFR-10",Reference code / comments added,Node tests: onboarding validation and installation gate
app/src/features/routines/index.mjs,A03,"F04, F10, F14, E07",Reference code / comments added,Routine command and desired/applied status test
app/src/platform/feature_flags.mjs,S04,"V01, AI01, AI07, E07, E10, NFR-08",Reference code / comments added,tests/cpp/test_product.cpp; invalid PRODUCT check
app/src/platform/index.mjs,A05,"F11, F13, E04, E08",Reference code / comments added,Cache and push capability test
app/src/platform/logging.mjs,S05,"AI08, E10, NFR-05, NFR-09",Reference code / comments added,Inherited logging tests and historical sanitizer evidence; no new board evidence
backend/ghar_sajag/feature_flags.py,S04,"V01, AI01, AI07, E07, E10, NFR-08",Reference code / comments added,tests/cpp/test_product.cpp; invalid PRODUCT check
backend/ghar_sajag/fleet.py,B06,"F03, F04, E07, E08, E09, NFR-06",Reference code / comments added,test_B06_config_version_and_device_binding
backend/ghar_sajag/homes.py,B02,"F01, F02, F10, E08, AI02, AI04, NFR-07",Reference code / comments added,F01 role test and test_B02_consent_withdrawal_enters_privacy
backend/ghar_sajag/http_api.py,B07,"F05, F06, F09, F11, F12, F14, E04",Reference code / comments added,test_B07_B08_snapshot_separates_activity_from_reachability
backend/ghar_sajag/identity.py,B01,"F01, E08, AI07, NFR-06",Reference code / comments added,test_B01_F01_membership_is_tenant_scoped
backend/ghar_sajag/incidents.py,B04,"F07, F08, F12, F13, E05",Reference code / comments added,call idempotency and test_B04_claim_lease_prevents_double_ownership
backend/ghar_sajag/ingest.py,B03,"E02, E05, NFR-03",Reference code / comments added,test_B03_ingest_is_idempotent
backend/ghar_sajag/logging_config.py,S05,"AI08, E10, NFR-05, NFR-09",Reference code / comments added,Inherited logging tests and historical sanitizer evidence; no new board evidence
