ID,Requirement,Scope,Modules,Component status,End to end,Browser/manual,Physical/HIL,Boundary,Acceptance experiment
F01,Household profile and caregiver roles,Base P0,"B01, B02, A01, S01",Host implemented / validated,Host service/app PASS,Not a visual acceptance gate,Production identity/database deployment pending,"Household, caregiver membership and tenant-scope rules are implemented and host-tested. The reference backend still uses development identity/in-memory runtime state for the connected lab; production OIDC/session handling and transactional persistent deployment remain outside this evidence.","Create a valid household, repeat the same creation request, try a missing-consent draft, assign the same primary and backup, and attempt cross-house access. Check both returned errors and stored membership records."
F02,Resident consent and privacy controls,Base P0,"B02, H06, H07, A01, B08",Host implemented / validated,Host PASS,No ordinary Privacy ON/OFF control,Physical/passive-sensing enforcement pending,"Consent withdrawal and internal privacy gating are host-tested. The normal household Settings UI no longer exposes a Privacy ON/OFF toggle; explicit consent withdrawal may still force the internal privacy state. Real sensor-side collection stop, retention/deletion and field privacy behavior require target integration.","During an active routine, withdraw consent and send passive events before and after application acknowledgement. Confirm visible privacy state, no false absence incident and no resumption without a deliberate new state transition."
F03,Kit provisioning and installation verification,Base P0,"N04, H07, B06, A01, S03, T02",Host onboarding / install gate validated,Host PASS; physical install pending,Manual installer flow recommended,PENDING,"Onboarding validation, capability checks and installation-gate semantics are host-tested. Actual board identity, GPIO capability, RF/input placement and installed-home verification remain a HIL/field gate.","Reject duplicate node IDs and wrong-board configuration. Walk each intended path, disconnect one sensor, test every resident button and perform a real notification drill before enabling unattended alerts."
F04,Configurable morning routine,Base P0,"A03, B06, H07, H03, H05, S02",Host implemented / validated,Connected host PASS,Settings path available,Applied-version persistence on target pending,"Morning-routine policy plus quiet hours, door-left-open timeout and daytime inactivity settings are versioned per household through the web/API/config path and applied to the hardware-independent rule configuration. Persistent target-side atomic application still requires real hub storage/integration.","Apply an increasing version, reject an older one, simulate a time-zone boundary and a mid-window update, and inspect desired versus applied state. Do not mark the schedule active just because the API accepted it."
F05,Morning activity evidence,Base P0,"N01, H01, H02, H05, S02, B07, A02",Host implemented / validated,Connected functional PASS,Timeline presentation covered by manual plan,Real PIR/reed behavior pending,"Generic motion/door events are consumed independently of GPIO and are preserved with location/time in the connected simulator. Real PIR/reed debounce, placement, electrical behavior and radio delivery remain physical acceptance items.","Replay allowed/disallowed locations, test events, out-of-window events and duplicate event IDs. Check household wording and separate coverage. A new replay test must expose duplicate evidence IDs rather than assuming journal deduplication protects the reducer."
F06,Explicit I’m OK check-in,Base P0,"H06, H02, H05, S02, B07, A02",Host implemented / validated,Connected + HTTP PASS,Manual visual check: green + elapsed age,Physical button latency/usability pending,"I am OK is a distinct positive self-check-in with age and chronology. It does not erase an unresolved Call Family incident. Physical button debounce, reachability and the <500 ms local-feedback target require real hardware/usability measurement.","Test press, bounce, held button, WAN outage and reboot between save and send. Measure the 500 ms local confirmation target on hardware. Verify that a caregiver acknowledgement cannot masquerade as resident OK."
F07,Call family request,Base P0,"H06, H02, H05, B04, B05, A04",Host implemented / validated,Connected + backend PASS,Timeline/manual workflow covered,Real notification provider pending,"Call Family creates a durable host incident, primary/backup routes and offline replay while remaining independent of later motion or I am OK. Real push/SMS/voice delivery and phone receipt are not claimed.","Send the same request twice and verify one incident and one job per recipient/stage. Exercise WAN loss, reboot, provider rejection and a caregiver acknowledgement that cancels pending backup routing."
F08,Missing morning activity workflow,Base P0,"H03, H04, H05, S02, B04, B05",Host implemented / validated,Connected + HTTP PASS,Missing-morning visibility in manual plan,Historical coverage/real sensors pending,The C++ rule engine drives missing-morning behavior through the connected simulator; later activity remains visible while the earlier concern remains in history. Continuous historical coverage is still not proven by the current lease model (G03).,"Run covered quiet, evidence present, node missing, clock invalid, privacy, away, visitor and repeated-deadline cases. Restart mid-window and confirm persisted eligibility and duplicate suppression before accepting the hardware implementation."
F09,Main-door history and quiet notice,Base P0,"N01, H05, S02, B07, B05, A02",Host implemented / validated,Connected + HTTP PASS,Door labels/tone/manual visual check,Physical reed/install pending,"Door open/close is explicit, quiet-hours opening is classified as unexpected, configurable door-left-open timing generates a concern, and later close records duration/resolution. These decisions now come from the C++ RulesCore. Real reed mounting/wiring and field timing remain pending.","Test bounce, initial open state, repeat delivery, quiet policy off, policy boundary and test-tagged data. Inspect the notice label for direction or identity claims."
F10,"Away, pause and visitor modes",Base P0,"A03, B02, H07, H06, H05, S02",Host implemented / validated,Connected functional PASS,Mode UI/settings manual check recommended,Persistent target control pending,"ACTIVE/AWAY/PAUSED/VISITOR suppression semantics are covered by the functional catalog. Production authorization, durable config application and target-side controls still require deployment integration.","Change each mode before, during and after a window; repeat an old command and reboot. Confirm that collection policy, absence eligibility and displayed mode agree."
F11,Caregiver dashboard and timeline,Base P0,"B07, B08, A02, A05",Host implemented / validated,Connected host PASS,MANUAL_REQUIRED unless Playwright installed,Target-device usability pending,"The simulator/PWA projection shows exact activity, chronology, unresolved incidents, device health/location and availability separately. JavaScript and functional tests pass. Actual browser automation was not recorded as passed because Playwright is not installed; the generated manual browser plan is the current visual gate.","Load fresh, stale, never-seen and disconnected snapshots; change phone time; try H2 credentials for H1; verify that labels remain understandable on a small mobile screen."
F12,Acknowledgement and resolution,Base P0,"B04, B07, B05, A04, H08",Host implemented / validated,Connected + HTTP PASS,Manual caregiver action flow available,Production concurrency/roles pending,"Claim, acknowledge and resolve lifecycle plus ownership conflict behavior are host-tested. Action-specific authorization and transactional compare-and-set for production concurrency remain G08.","Race two claims, expire a lease, try cross-house access, repeat acknowledgement and resolve a closed incident. Verify authorised action permissions and notification cancellation in a transaction-level test."
F13,Backup routing and delivery visibility,Base P0,"B05, B04, B08, A04, A05",Host implemented / validated,Connected + backend PASS,Delivery visibility covered in host UI,Real provider/phone receipt pending,"Primary/backup routing, provider acceptance state and human acknowledgement are represented separately and regression-tested. A real delivery worker, retry leases and provider ambiguity handling remain G10.","Use a fake provider that accepts, rejects and times out. Crash a worker after sending but before saving the result. Verify idempotency and clear uncertain-delivery status instead of claiming guaranteed exactly-once notification."
F14,Opt-in daily morning summary,Base P0,"B05, B07, A03, A02",Partial host implementation / tested,Backend component PASS; full connected summary pending,Summary UI not a completed release gate,Deployment policy pending,"The host summary helper is opt-in/idempotent and coverage-aware, but it still scans retained home activity without complete local-date filtering and direct consent enforcement. Same-day policy-version behavior remains G07.","Test no opt-in, no consent, events only from yesterday, partial coverage, repeated scheduling and policy change on the same date. Decide whether a policy revision should update or resend before implementing production routing."
E01,"Node health, battery and coverage",Base P0,"N03, N02, H04, B08, A02",Host implemented / validated,Connected diagnostics PASS,Device status/location visual check,PENDING real battery/RSSI/thermal,"The reference defines 60 s heartbeat / 190 s offline semantics and exposes active/degraded/offline devices with locations plus simulated fault codes. Real battery calibration, RSSI distributions, thermal telemetry and missed-heartbeat behavior require HIL.","Test never-seen, fresh, expired, explicit sensor fault and uncalibrated voltage. Measure battery impact and packet loss before freezing heartbeat intervals."
E02,Reliable transport and duplicate handling,Base P0,"N02, N05, H01, H02, H08, B03, S01",Host protocol implemented / validated,Connected host PASS,N/A,ESP-NOW framing/crypto/channel pending,"A typed node-to-hub message/ACK contract now defines source/session/sequence identity, sensor/event type, time, battery, RSSI, durable ACK, retry and duplicate semantics. Real ESP-NOW encoding/authentication/channel recovery remain G09; retained-event refill remains G05.","Inject lost packet, lost ACK, duplicate packet, reordered packet, peer mismatch and receiver-full conditions. Examine both event counts and side effects such as evidence IDs and notification jobs."
E03,Local operation during internet failure,Base P0,"H03, H04, H05, H06, H02, H08",Host implemented / validated,Connected + HTTP PASS,Availability wording manual check,Flash/router-power/real RF pending,"WAN loss, local progression, replay and delayed/backfilled behavior are covered in connected tests. The runtime store is still in memory and real router power, flash persistence and ESP-NOW coexistence remain physical/deployment work.","Separate WAN cut, router off, hub reboot and node off. Check the correct status for each, and verify replay without erasing the observation gap."
E04,Hub/cloud/app connectivity and freshness,Base P0,"H08, B08, B07, A05, A02",Host implemented / validated,Backend + HTTP PASS,Manual stale/fresh presentation check,Production streaming/provider reachability pending,"Host read models separate activity evidence, node/hub freshness, WAN/backend reachability and human workflow state. Production broker/stream refresh, phone reachability and durable stale-state recovery remain deployment items.",Break one boundary at a time and verify that the other statuses remain correct. Confirm that broker retained online state is not used as the sole liveness proof.
E05,"Persistence, recovery and bounded storage",Base P0,"N05, H02, B03, B04, B05, B08",Persistence schema validated / runtime partial,SQL schema PASS; runtime/HIL pending,N/A,PENDING flash/power-loss,"A concrete relational model and migration now cover households, rooms, caregivers, hub/nodes, events, routines/windows, alerts, acknowledgements, notification jobs, histories, configuration and audit. The connected simulator intentionally still uses InMemoryStore; flash adapters, DB repository wiring, journal compaction and retained-event refill are not closed.","Test full capacity, interruption at each commit step, reboot before ACK, compaction and offline retention exhaustion. Require an explicit gap/fault outcome when evidence cannot be retained."
E06,Trusted time and boundary handling,Base P0,"H03, H07, H05, S01, S02",Host implemented / validated,Connected functional PASS,N/A,Authenticated production time pending,"Trusted/untrusted time and boundary suppression are covered by the pure rule engine and connected scenarios. Production authenticated time acquisition, reboot checkpoints, timezone/DST handling and range/overflow validation remain target work.","Test missing anchor, stale anchor, clock rollback, uncertainty straddling a boundary and daylight-saving dates for non-India homes. Keep absolute timestamps and elapsed timer tests separate."
E07,Versioned configuration and atomic application,Base P0,"B06, A03, H07, N04, H08, S01",Host implemented / validated,Connected + HTTP PASS,Settings version/manual check,Durable atomic target apply pending,"Household settings are schema-validated, versioned through GET/POST config APIs and applied to HomeConfig/activity rules; stale versions are rejected. Durable authenticated command envelopes and crash-safe target-side application remain deployment/HIL work.","Reorder versions, duplicate the newest, corrupt one field and power-cycle during application. Verify that the active snapshot is entirely old or entirely new."
E08,"Security, privacy and tenant isolation",Base P0,"S03, B01, B02, B06, B08, A05, T01",Host controls validated,Backend + HTTP negative tests PASS,Access behavior covered by HTTP tests,Production security review pending,"Tenant-scope, unknown-actor and cross-origin negative tests exist, and consent-aware state is represented. Production TLS/OIDC, device key management, secure boot, credential rotation and mutation-role policy are not established by the host lab.","Run cross-tenant read/write, revoked credential, wrong session and invalid signature cases. Inspect the deployed endpoints and logs; do not infer security from class names or a mock signature verifier."
E09,Signed firmware update and recovery,Base P0,"S03, H07, N04, B06, B08, T02",Host update policy validated,Host policy PASS; target pending,N/A,PENDING signed OTA/rollback/watchdog,"Manifest/wrong-board/rollback policy is unit-tested through a host seam. Actual image download, cryptographic signature/hash verification, flash partitions, bootloader rollback and watchdog recovery require target-board evidence.","Test wrong board, stale version, bad hash text and rejected signature on host. Later interrupt download/write/first boot on hardware and demonstrate recovery before a field update."
E10,"Verification, observability and release evidence",Base P0,"B08, A02, T01, T02, T03, H02, H08",Host release framework validated,release-gate PASS,MANUAL_REQUIRED unless release-gate-browser,Physical/pilot gate pending,"v1.5.4 adds a fail-closed release framework: 24/24 P0 mappings, 4 contract schemas, 80 C++ checks, 24 Python tests, 10 JS tests, 4/4 feature variants, Base/AI profile checks, 5/5 dummy streams, 68/68 functional scenarios, 16/16 HTTP tests, ASan/UBSan and trace-build passes. Browser automation remains manual-required in this environment; hardware/pilot acceptance remains separate.","Inject queue exhaustion, provider failure and missing sink; verify error records without secrets. Run TRACE-on/off profiles and separate sanitizer and target crash-recovery tests. Record toolchain, command, result and remaining limitations."
V01,Build-selected product identity,Shared build,"S04, T01",Host validated,Base + AI product profiles PASS,N/A,N/A for build identity,Build-selected product identity and invalid-product handling remain host-validated in the release gate. This does not imply future AI capabilities are product-complete.,make verify PRODUCT=base|ai; invalid PRODUCT fails; Product::name/version identify build.
AI01,Base provider exclusion,Future AI,"S04, H09, T01",Passed,Pending,Future scope,Pending / future scope,tests/cpp/test_product.cpp: base branch,Base begin returns Disabled and fake provider receives zero starts.
AI02,Consented interaction admission,Future AI,"H09, B02, H10",Partial,Pending,Future scope,Pending / future scope,Controller tests pass; consent propagation and audio capture gate pending,Reject missing consent/offline before start; active session rejects a second start.
AI03,Correlated completion and timeout,Future AI,"H09, T01",Passed,Pending,Future scope,Pending / future scope,tests/cpp/test_product.cpp: timeout and completion checks,"Reject wrong, duplicate and late IDs; expire at 30000 monotonic milliseconds."
AI04,Resident cancellation and privacy revocation,Future AI,"H09, H10, H11, B02",Partial,Pending,Future scope,Pending / future scope,Controller cancellation tested; physical and privacy wiring pending,Controller cancels pending provider; physical cancel and consent withdrawal stop recording/playback.
AI05,Monitoring priority over conversation,Future AI,"H05, H06, H09, H10",Pending,Pending,Future scope,Pending / future scope,Coordinator and load/latency tests not implemented,Monitoring never waits for model response; urgent prompt preempts interaction.
AI06,Audio and model-provider integration,Future AI,"H11, B09",Pending,Pending,Future scope,Pending / future scope,"No live provider, microphone capture or speech synthesis implemented",Bounded audio buffers; authenticated provider path; explain offline/unavailable state.
AI07,Capability and cost policy,Future AI,"S04, B09, A06, B01",Pending,Pending,Future scope,Pending / future scope,No capability endpoint or spending limiter implemented,"Server enforces tenant/edition/consent/quota; UI reflects availability, not authorization."
AI08,Diagnostic and monitoring separation,Future AI,"S05, H09, S02",Partial,Pending,Future scope,Pending / future scope,Metadata-only hooks exist; live adapter and incident-isolation integration tests pending,Controller logs no audio/transcript; AI response cannot acknowledge or resolve incidents.
NFR-01,Safety of interpretation,Base quality gate,"S02, H05, A02",Host interpretation rules validated,Functional regression PASS,Manual wording checks included,Pilot comprehension still pending,Host rules and UI semantics avoid converting activity/no-activity into medical wellbeing conclusions. Field/user comprehension and commercial claims review remain outside host evidence.,"No fall, medical, emergency-dispatch or wellbeing claim from P0 evidence."
NFR-02,Responsiveness,Base quality gate,"H06, A02",Host semantics validated / timing partial,Host UI path PASS,Manual UI check required,<500 ms physical response measurement pending,"Dashboard age/presentation and local semantic feedback paths are host-tested, but the <500 ms physical button-feedback target must be measured on real hub/button/display hardware.",Local valid button confirmation within 500 ms; dashboard displays data age.
NFR-03,Availability,Base quality gate,"N05, H02, H08, B03",Host availability behavior validated,WAN/replay scenarios PASS,Availability wording check,Flash/power/RF outage testing pending,"Host WAN-loss and replay behavior is regression-tested without duplicate backend ingestion. Real flash retention, router power, RF loss and outage-duration endurance remain HIL/pilot items.",Local operation during WAN outage; recovery replays unsent events without duplication.
NFR-04,Performance,Base quality gate,"N02, H01, H09",Host structural/performance safety validated,C++ + sanitizer PASS,N/A,FreeRTOS/queue/resource measurements pending,"Bounded host queues, callback separation and sanitizer tests provide software evidence. Exact FreeRTOS scheduling, queue saturation and CPU/stack behavior on the selected boards are still unmeasured.",State-owner queues are bounded; no unbounded retry or blocking work in radio callback.
NFR-05,Resource use,Base quality gate,"N03, H02, S05, T02",Host sanitizer/log bounds validated,Host PASS; resource acceptance pending,N/A,PENDING RAM/flash/CPU/battery,"ASan/UBSan, bounded host logging and schema/storage limits are tested. Actual ESP32 RAM/stack/flash/current/runtime/thermal measurements remain mandatory before pilot.",Measure RAM/flash/CPU/battery on actual ESP32 hardware; fail release if agreed budgets are exceeded.
NFR-06,Security,Base quality gate,"S03, B01, B06",Host policy/negative tests validated,Host security semantics PASS,HTTP negative tests included,Production crypto/auth review pending,"Host tenant isolation, credential/update policy seams and negative API behavior are tested. This is not penetration testing and does not establish production TLS/OIDC, ESP-NOW crypto, secure boot or secret storage.","Unique credentials, encrypted/authenticated transport, signed OTA and least-privilege access."
NFR-07,Privacy,Base quality gate,"B02, H07, H09",Host privacy/consent semantics validated,Host PASS,No normal Privacy ON/OFF setting,Retention/physical collection stop pending,P0 remains camera-free/no always-on listening; consent withdrawal enters the internal privacy state and normal Settings no longer exposes a generic privacy toggle. Real data-lifecycle enforcement and field privacy review remain pending.,Camera-free/no always-on listening P0; consent withdrawal is effective and auditable.
NFR-08,Maintainability,Base quality gate,"S01, S04, T01",Host maintainability gate validated,release-gate PASS,N/A,N/A for host maintainability,"Versioned contracts, deterministic rules, a canonical 68-case catalog, requirement-coverage mapping and reproducible release commands are now formalized. Source traceability metadata still needs periodic synchronization as code evolves.","Module IDs, contracts, deterministic rules, automated tests and reproducible builds."
NFR-09,Supportability,Base quality gate,"S05, B08",Host logging/diagnostics validated,Trace + logging tests PASS,Diagnostic presentation manually checkable,Target sink/panic/coredump pending,"ERROR/TRACE profiles, log analyzer and simulated diagnostic codes are host-tested. Target flash wear, concurrent FreeRTOS writes, brownout/watchdog/panic and coredump retrieval require hardware evidence.",Bounded structured `.txt` diagnostics; ERROR always; TRACE build-gated; no secrets.
NFR-10,Accessibility,Base quality gate,"H06, A01, A02, A04",Host accessibility semantics implemented,JS/functional PASS,MANUAL_REQUIRED,Resident/caregiver usability study pending,Large-action/clear-label and non-color-only design intent is represented in the UI/manual checklist. Actual target-device accessibility and resident/caregiver comprehension testing are still required.,"Large resident actions, clear labels, visible local state and caregiver-readable uncertainty."
