Source file,Module,Requirement responsibilities,State,Existing test location
app/public/app.mjs,A02,"F05, F06, F09, F11, F14, E01, E04, E10, NFR-01, NFR-02, NFR-10",Host implemented / validated; target integration pending where applicable,Home-view separation test; static responsive prototype included
app/public/service-worker.mjs,A02,"F05, F06, F09, F11, F14, E01, E04, E10, NFR-01, NFR-02, NFR-10",Host implemented / validated; target integration pending where applicable,Home-view separation test; static responsive prototype included
app/src/features/home/index.mjs,A02,"F05, F06, F09, F11, F14, E01, E04, E10, NFR-01, NFR-02, NFR-10",Host implemented / validated; target integration pending where applicable,Home-view separation test; static responsive prototype included
app/src/features/incidents/index.mjs,A04,"F07, F12, F13, NFR-10",Host implemented / validated; target integration pending where applicable,Incident ownership/action and command-path test
app/src/features/onboarding/index.mjs,A01,"F01, F02, F03, NFR-10",Host implemented / validated; target integration pending where applicable,Node tests: onboarding validation and installation gate
app/src/features/routines/index.mjs,A03,"F04, F10, F14, E07",Host implemented / validated; target integration pending where applicable,Routine command and desired/applied status test
app/src/platform/feature_flags.mjs,S04,"V01, AI01, AI07, E07, E10, NFR-08",Host implemented / validated; target integration pending where applicable,tests/cpp/test_product.cpp; invalid PRODUCT check
app/src/platform/index.mjs,A05,"F11, F13, E04, E08",Host implemented / validated; target integration pending where applicable,Cache and push capability test
app/src/platform/logging.mjs,S05,"AI08, E10, NFR-05, NFR-09",Host implemented / validated; target integration pending where applicable,Inherited logging tests and historical sanitizer evidence; no new board evidence
backend/ghar_sajag/feature_flags.py,S04,"V01, AI01, AI07, E07, E10, NFR-08",Host implemented / validated; target integration pending where applicable,tests/cpp/test_product.cpp; invalid PRODUCT check
backend/ghar_sajag/fleet.py,B06,"F03, F04, E07, E08, E09, NFR-06",Host implemented / validated; target integration pending where applicable,test_B06_config_version_and_device_binding
backend/ghar_sajag/homes.py,B02,"F01, F02, F10, E08, AI02, AI04, NFR-07",Host implemented / validated; target integration pending where applicable,F01 role test and test_B02_consent_withdrawal_enters_privacy
backend/ghar_sajag/http_api.py,B07,"F05, F06, F09, F11, F12, F14, E04",Host implemented / validated; target integration pending where applicable,test_B07_B08_snapshot_separates_activity_from_reachability
backend/ghar_sajag/identity.py,B01,"F01, E08, AI07, NFR-06",Host implemented / validated; target integration pending where applicable,test_B01_F01_membership_is_tenant_scoped
backend/ghar_sajag/incidents.py,B04,"F07, F08, F12, F13, E05",Host implemented / validated; target integration pending where applicable,call idempotency and test_B04_claim_lease_prevents_double_ownership
backend/ghar_sajag/ingest.py,B03,"E02, E05, NFR-03",Host implemented / validated; target integration pending where applicable,test_B03_ingest_is_idempotent
backend/ghar_sajag/logging_config.py,S05,"AI08, E10, NFR-05, NFR-09",Host implemented / validated; target integration pending where applicable,Inherited logging tests and historical sanitizer evidence; no new board evidence
backend/ghar_sajag/model.py,S01,"F01, E02, E06, E07, NFR-08",Host implemented / validated; target integration pending where applicable,make contracts verifies three required-field sets and API surface
backend/ghar_sajag/notifications.py,B05,"F07, F08, F09, F12, F13, F14, E05",Host implemented / validated; target integration pending where applicable,"B04/B05 route tests, F09 notice test, F14 summary test and TEST exclusion"
backend/ghar_sajag/operations.py,B08,"F02, F11, F13, E01, E04, E05, E08, E09, E10, NFR-09",Host implemented / validated; target integration pending where applicable,B07/B08 snapshot test and diagnostics assertions
backend/ghar_sajag/queries.py,B07,"F05, F06, F09, F11, F12, F14, E04",Host implemented / validated; target integration pending where applicable,test_B07_B08_snapshot_separates_activity_from_reachability
backend/ghar_sajag/service.py,B03,"E02, E05, NFR-03",Host implemented / validated; target integration pending where applicable,test_B03_ingest_is_idempotent
backend/ghar_sajag/store.py,B08,"F02, F11, F13, E01, E04, E05, E08, E09, E10, NFR-09",Host implemented / validated; target integration pending where applicable,B07/B08 snapshot test and diagnostics assertions
firmware/common/security/security.cpp,S03,"F03, E08, E09, NFR-06",Host implemented / validated; target integration pending where applicable,"C++ tests cover install, rollback, revoke and manifest policy"
firmware/common/security/security.hpp,S03,"F03, E08, E09, NFR-06",Host implemented / validated; target integration pending where applicable,"C++ tests cover install, rollback, revoke and manifest policy"
firmware/hub/components/cloud/cloud_sync.cpp,H08,"F12, E02, E03, E04, E07, E10, NFR-03",Host implemented / validated; target integration pending where applicable,C++ tests cover urgent ordering and application-level retirement; simulator replays one offline record
firmware/hub/components/cloud/cloud_sync.hpp,H08,"F12, E02, E03, E04, E07, E10, NFR-03",Host implemented / validated; target integration pending where applicable,C++ tests cover urgent ordering and application-level retirement; simulator replays one offline record
firmware/hub/components/coverage/coverage.cpp,H04,"F08, E01, E03",Host implemented / validated; target integration pending where applicable,"C++ tests cover never-seen, fresh and 190-second expired lease"
firmware/hub/components/coverage/coverage.hpp,H04,"F08, E01, E03",Host implemented / validated; target integration pending where applicable,"C++ tests cover never-seen, fresh and 190-second expired lease"
firmware/hub/components/ingest/ingest.cpp,H01,"F05, E02, NFR-04",Host implemented / validated; target integration pending where applicable,C++ tests cover known/unknown peer and callback-to-worker copy
firmware/hub/components/ingest/ingest.hpp,H01,"F05, E02, NFR-04",Host implemented / validated; target integration pending where applicable,C++ tests cover known/unknown peer and callback-to-worker copy
firmware/hub/components/lifecycle/config_service.cpp,H07,"F02, F03, F04, F10, E06, E07, E09, NFR-07",Host implemented / validated; target integration pending where applicable,C++ tests cover valid apply and stale-version rejection
firmware/hub/components/lifecycle/config_service.hpp,H07,"F02, F03, F04, F10, E06, E07, E09, NFR-07",Host implemented / validated; target integration pending where applicable,C++ tests cover valid apply and stale-version rejection
firmware/hub/components/rules/routine_service.cpp,H05,"F04, F05, F06, F07, F08, F09, F10, E03, E06, AI05, NFR-01",Host implemented / validated; target integration pending where applicable,"C++ tests cover evidence, missing, duplicate deadline, coverage unknown and privacy"
firmware/hub/components/rules/routine_service.hpp,H05,"F04, F05, F06, F07, F08, F09, F10, E03, E06, AI05, NFR-01",Host implemented / validated; target integration pending where applicable,"C++ tests cover evidence, missing, duplicate deadline, coverage unknown and privacy"
firmware/hub/components/storage/journal.cpp,H02,"F05, F06, F07, E02, E03, E05, E10, NFR-03, NFR-05",Host implemented / validated; target integration pending where applicable,"C++ tests cover store, duplicate, pending outbox and application ACK"
firmware/hub/components/storage/journal.hpp,H02,"F05, F06, F07, E02, E03, E05, E10, NFR-03, NFR-05",Host implemented / validated; target integration pending where applicable,"C++ tests cover store, duplicate, pending outbox and application ACK"
firmware/hub/components/time/clock.cpp,H03,"F04, F08, E03, E06",Host implemented / validated; target integration pending where applicable,C++ tests verify unanchored suppression and trusted bounded estimate
firmware/hub/components/time/clock.hpp,H03,"F04, F08, E03, E06",Host implemented / validated; target integration pending where applicable,C++ tests verify unanchored suppression and trusted bounded estimate
firmware/hub/components/ui/resident_ui.cpp,H06,"F02, F06, F07, F10, E03, AI05, NFR-02, NFR-10",Host implemented / validated; target integration pending where applicable,C++ tests verify Call family event and offline wording
firmware/hub/components/ui/resident_ui.hpp,H06,"F02, F06, F07, F10, E03, AI05, NFR-02, NFR-10",Host implemented / validated; target integration pending where applicable,C++ tests verify Call family event and offline wording
firmware/hub/runtime/hub_runtime.cpp,H05,"F04, F05, F06, F07, F08, F09, F10, E03, E06, AI05, NFR-01",Host implemented / validated; target integration pending where applicable,"C++ tests cover evidence, missing, duplicate deadline, coverage unknown and privacy"
firmware/hub/runtime/hub_runtime.hpp,H05,"F04, F05, F06, F07, F08, F09, F10, E03, E06, AI05, NFR-01",Host implemented / validated; target integration pending where applicable,"C++ tests cover evidence, missing, duplicate deadline, coverage unknown and privacy"
firmware/node/components/lifecycle/lifecycle.cpp,N04,"F03, E07, E09",Host implemented / validated; target integration pending where applicable,"C++ tests cover invalid capability, valid apply, rollback and 120-second window"
firmware/node/components/lifecycle/lifecycle.hpp,N04,"F03, E07, E09",Host implemented / validated; target integration pending where applicable,"C++ tests cover invalid capability, valid apply, rollback and 120-second window"
firmware/node/components/power/power.cpp,N03,"E01, NFR-05",Host implemented / validated; target integration pending where applicable,C++ tests verify low/unknown bands and retry wake plan
firmware/node/components/power/power.hpp,N03,"E01, NFR-05",Host implemented / validated; target integration pending where applicable,C++ tests verify low/unknown bands and retry wake plan
firmware/node/components/radio/node_radio.cpp,N02,"E01, E02, NFR-04",Host implemented / validated; target integration pending where applicable,"C++ tests cover immediate send, volatile ACK retention and durable retirement"
firmware/node/components/radio/node_radio.hpp,N02,"E01, E02, NFR-04",Host implemented / validated; target integration pending where applicable,"C++ tests cover immediate send, volatile ACK retention and durable retirement"
firmware/node/components/sensing/sensing.cpp,N01,"F05, F09",Host implemented / validated; target integration pending where applicable,"tests/cpp/test_main.cpp: initial, bounce and stable-rise checks"
firmware/node/components/sensing/sensing.hpp,N01,"F05, F09",Host implemented / validated; target integration pending where applicable,"tests/cpp/test_main.cpp: initial, bounce and stable-rise checks"
firmware/node/components/storage/node_store.cpp,N05,"E02, E05, NFR-03",Host implemented / validated; target integration pending where applicable,C++ tests cover persist-before-send and ACK class behavior; NodeRuntime composition tested
firmware/node/components/storage/node_store.hpp,N05,"E02, E05, NFR-03",Host implemented / validated; target integration pending where applicable,C++ tests cover persist-before-send and ACK class behavior; NodeRuntime composition tested
firmware/node/runtime/node_runtime.cpp,N02,"E01, E02, NFR-04",Host implemented / validated; target integration pending where applicable,"C++ tests cover immediate send, volatile ACK retention and durable retirement"
firmware/node/runtime/node_runtime.hpp,N02,"E01, E02, NFR-04",Host implemented / validated; target integration pending where applicable,"C++ tests cover immediate send, volatile ACK retention and durable retirement"
host/logging/file_log_sink.cpp,S05,"AI08, E10, NFR-05, NFR-09",Host implemented / validated; target integration pending where applicable,Inherited logging tests and historical sanitizer evidence; no new board evidence
host/logging/file_log_sink.hpp,S05,"AI08, E10, NFR-05, NFR-09",Host implemented / validated; target integration pending where applicable,Inherited logging tests and historical sanitizer evidence; no new board evidence
host/simulator/main.cpp,T01,"E08, E10, V01, AI01, AI03, NFR-08",Host implemented / validated; target integration pending where applicable,VERIFICATION_REPORT.md: v1.5.4 release-gate evidence
scripts/instrument_cpp_logging.py,S05,"AI08, E10, NFR-05, NFR-09",Host utility / validated where release-gated,Inherited logging tests and historical sanitizer evidence; no new board evidence
scripts/instrument_js_logging.py,S05,"AI08, E10, NFR-05, NFR-09",Host utility / validated where release-gated,Inherited logging tests and historical sanitizer evidence; no new board evidence
scripts/instrument_python_logging.py,S05,"AI08, E10, NFR-05, NFR-09",Host utility / validated where release-gated,Inherited logging tests and historical sanitizer evidence; no new board evidence
scripts/verify_contracts.py,T01,"E08, E10, V01, AI01, AI03, NFR-08",Host utility / validated where release-gated,VERIFICATION_REPORT.md: v1.5.4 release-gate evidence
shared/include/gs/domain.hpp,S01,"F01, E02, E06, E07, NFR-08",Host implemented / validated; target integration pending where applicable,make contracts verifies three required-field sets and API surface
