ID,Requirement,Scope,Modules,Component status,End to end,Boundary,Acceptance experiment
F01,Household profile and caregiver roles,Base P0,"B01, B02, A01, S01",Partial host reference,Pending,"Python services and JavaScript form models exist. Production login, database transactions and complete resident-profile/consent evidence are not established by those tests. The local HTTP demo uses a development identity mechanism and must not be exposed as production authentication.","Create a valid household, repeat the same creation request, try a missing-consent draft, assign the same primary and backup, and attempt cross-house access. Check both returned errors and stored membership records."
F02,Resident consent and privacy controls,Base P0,"B02, H06, H07, A01, B08",Partial host reference,Pending,"The backend mode mutation and a hub passive-event policy are present in the host model. End-to-end node stop, deletion/retention enforcement, physical privacy control and live AI cancellation propagation remain integration work.","During an active routine, withdraw consent and send passive events before and after application acknowledgement. Confirm visible privacy state, no false absence incident and no resumption without a deliberate new state transition."
F03,Kit provisioning and installation verification,Base P0,"N04, H07, B06, A01, S03, T02",Partial host reference,Pending,"Configuration validators and checklist scaffolds exist. A secure claim service, ESP-NOW pairing, factory keys, serial provisioning and verified physical evidence do not yet exist as an integrated system.","Reject duplicate node IDs and wrong-board configuration. Walk each intended path, disconnect one sensor, test every resident button and perform a real notification drill before enabling unattended alerts."
F04,Configurable morning routine,Base P0,"A03, B06, H07, H03, H05, S02",Partial host reference,Pending,Reference validators and a window reducer exist. The current C++ routine receives absolute epoch boundaries; a production scheduler must convert local dates and time zones and persist window transitions. Legacy capability flags do not all enforce behaviour.,"Apply an increasing version, reject an older one, simulate a time-zone boundary and a mid-window update, and inspect desired versus applied state. Do not mark the schedule active just because the API accepted it."
F05,Morning activity evidence,Base P0,"N01, H01, H02, H05, S02, B07, A02",Partial host reference,Pending,"Two-zone, kitchen-session and pooja-duration examples in the earlier deployment guide are historical hypotheses, not implemented algorithms. The host reducer also retains evidence IDs in a vector; bounded deduplication and historical coverage intervals remain open work.","Replay allowed/disallowed locations, test events, out-of-window events and duplicate event IDs. Check household wording and separate coverage. A new replay test must expose duplicate evidence IDs rather than assuming journal deduplication protects the reducer."
F06,Explicit I’m OK check-in,Base P0,"H06, H02, H05, S02, B07, A02",Partial host reference,Pending,Event construction and rule handling exist. The current reducer ignores OK while in suppressed modes and outside its configured activity interval. The product-level requirement to retain manual actions independently still requires complete runtime wiring and a reviewed grace-period policy.,"Test press, bounce, held button, WAN outage and reboot between save and send. Measure the 500 ms local confirmation target on hardware. Verify that a caregiver acknowledgement cannot masquerade as resident OK."
F07,Call family request,Base P0,"H06, H02, H05, B04, B05, A04",Partial host reference,Pending,The backend composition handles CALL_FAMILY and schedules jobs. End-to-end button-to-backend mapping and real provider delivery are pending. This is not automatic emergency dispatch or a guaranteed emergency response service.,"Send the same request twice and verify one incident and one job per recipient/stage. Exercise WAN loss, reboot, provider rejection and a caregiver acknowledgement that cancels pending backup routing."
F08,Missing morning activity workflow,Base P0,"H03, H04, H05, S02, B04, B05",Partial host reference,Pending,"The host reducer returns an intent/reason. It does not implement the full local prompt then wait then notify orchestration, nor automatically publish a technical service incident. Current-state coverage cannot establish full-window coverage; that gap must close before reliable live absence alerts.","Run covered quiet, evidence present, node missing, clock invalid, privacy, away, visitor and repeated-deadline cases. Restart mid-window and confirm persisted eligibility and duplicate suppression before accepting the hardware implementation."
F09,Main-door history and quiet notice,Base P0,"N01, H05, S02, B07, B05, A02",Partial host reference,Pending,"The notice helper accepts a caller-supplied within_quiet_hours boolean. Computing local-time policy, enforcing user opt-in and routing the complete door flow are not established by that helper.","Test bounce, initial open state, repeat delivery, quiet policy off, policy boundary and test-tagged data. Inspect the notice label for direction or identity claims."
F10,"Away, pause and visitor modes",Base P0,"A03, B02, H07, H06, H05, S02",Partial host reference,Pending,"The reducer suppresses absence unless mode is Home. Visitor can collect evidence but still suppresses deadline creation. Device propagation, audit detail and recovery of effective mode need integrated validation.","Change each mode before, during and after a window; repeat an old command and reboot. Confirm that collection policy, absence eligibility and displayed mode agree."
F11,Caregiver dashboard and timeline,Base P0,"B07, B08, A02, A05",Partial host reference,Pending,"View-model helpers and a browser demonstration exist. The complete secured caregiver application, accessible screens, live refresh and supported-phone testing remain pending.","Load fresh, stale, never-seen and disconnected snapshots; change phone time; try H2 credentials for H1; verify that labels remain understandable on a small mobile screen."
F12,Acknowledgement and resolution,Base P0,"B04, B07, B05, A04, H08",Partial host reference,Pending,Claim/acknowledge/resolve methods exist. The present permission check uses read access for mutation and needs a stricter production action policy. Unable-to-reach/handoff and atomic database concurrency are not complete.,"Race two claims, expire a lease, try cross-house access, repeat acknowledgement and resolve a closed incident. Verify authorised action permissions and notification cancellation in a transaction-level test."
F13,Backup routing and delivery visibility,Base P0,"B05, B04, B08, A04, A05",Partial host reference,Pending,"Scheduling and delivery-state helpers exist in memory. Real providers, durable worker claims, retry after FAILED, receipt callbacks, rate limits and route-exhaustion handling need implementation.","Use a fake provider that accepts, rejects and times out. Crash a worker after sending but before saving the result. Verify idempotency and clear uncertain-delivery status instead of claiming guaranteed exactly-once notification."
F14,Opt-in daily morning summary,Base P0,"B05, B07, A03, A02",Partial host reference,Pending,"The current helper scans all retained home events instead of filtering the requested local date/window. It also relies on caller-supplied flags and does not itself enforce consent. It is a host scaffold, not a ready scheduled report.","Test no opt-in, no consent, events only from yesterday, partial coverage, repeated scheduling and policy change on the same date. Decide whether a policy revision should update or resend before implementing production routing."
E01,"Node health, battery and coverage",Base P0,"N03, N02, H04, B08, A02",Partial host reference,Pending,"The host default is a 60-second heartbeat configuration and a 190-second hub lease. Earlier 15/35-minute deployment values were different trial proposals. Do not mix them. Coverage currently checks contact/fault, not a complete battery and historical-interval policy.","Test never-seen, fresh, expired, explicit sensor fault and uncalibrated voltage. Measure battery impact and packet loss before freezing heartbeat intervals."
E02,Reliable transport and duplicate handling,Base P0,"N02, N05, H01, H02, H08, B03, S01",Partial host reference,Pending,"In-memory retention and ACK semantics exist; encrypted radio, authenticated sessions across reboot and real durable flash do not. HubRuntime currently reapplies duplicates to the reducer, so effect-level deduplication is an explicit gap.","Inject lost packet, lost ACK, duplicate packet, reordered packet, peer mismatch and receiver-full conditions. Examine both event counts and side effects such as evidence IDs and notification jobs."
E03,Local operation during internet failure,Base P0,"H03, H04, H05, H06, H02, H08",Partial host reference,Pending,"Host components can simulate disconnection and replay. Real flash, ESP-NOW/Wi-Fi coexistence, channel changes and local UI integration remain open. The home router needs its own power backup for remote access during mains loss.","Separate WAN cut, router off, hub reboot and node off. Check the correct status for each, and verify replay without erasing the observation gap."
E04,Hub/cloud/app connectivity and freshness,Base P0,"H08, B08, B07, A05, A02",Partial host reference,Pending,"Independent host representations exist. Production heartbeats, authenticated timestamps, streaming refresh and durable stale-state recovery require integration.",Break one boundary at a time and verify that the other statuses remain correct. Confirm that broker retained online state is not used as the sole liveness proof.
E05,"Persistence, recovery and bounded storage",Base P0,"N05, H02, B03, B04, B05, B08",Partial host reference,Pending,"Reference stores are in memory. HubJournal marks cloud acknowledgements but does not reclaim records; NodeRuntime can leave a stored item stranded if radio enqueue fails. A refill/recovery pump, flash adapter and bounded evidence collection are pending.","Test full capacity, interruption at each commit step, reboot before ACK, compaction and offline retention exhaustion. Require an explicit gap/fault outcome when evidence cannot be retained."
E06,Trusted time and boundary handling,Base P0,"H03, H07, H05, S01, S02",Partial host reference,Pending,"Host estimates exist, including a 72-hour anchor expiry. Production authenticated time acquisition, reboot checkpoints, timezone conversion and overflow/range validation are pending.","Test missing anchor, stale anchor, clock rollback, uncertainty straddling a boundary and daylight-saving dates for non-India homes. Keep absolute timestamps and elapsed timer tests separate."
E07,Versioned configuration and atomic application,Base P0,"B06, A03, H07, N04, H08, S01",Partial host reference,Pending,"Reference version validation exists. Persisted atomic updates, authenticated command envelopes, expiry and complete wrong-target validation need target integration and expanded tests.","Reorder versions, duplicate the newest, corrupt one field and power-cycle during application. Verify that the active snapshot is entirely old or entirely new."
E08,"Security, privacy and tenant isolation",Base P0,"S03, B01, B02, B06, B08, A05, T01",Partial host reference,Pending,"Policies and negative host tests exist. TLS, OIDC, ESP-NOW key handling, secure boot, production token validation and strict mutation roles are not complete. Development HTTP headers are not authentication.","Run cross-tenant read/write, revoked credential, wrong session and invalid signature cases. Inspect the deployed endpoints and logs; do not infer security from class names or a mock signature verifier."
E09,Signed firmware update and recovery,Base P0,"S03, H07, N04, B06, B08, T02",Partial host reference,Pending,"The current code validates manifest metadata through a testable seam. Image download, real hash/signature verification, flash partitions, bootloader rollback, watchdog and signed fleet rollout are pending.","Test wrong board, stale version, bad hash text and rejected signature on host. Later interrupt download/write/first boot on hardware and demonstrate recovery before a field update."
E10,"Verification, observability and release evidence",Base P0,"B08, A02, T01, T02, T03, H02, H08",Partial host reference,Pending,"The C++ formatter uses a 384-byte stack buffer; it calls the sink synchronously. ERROR is an unconditional hook but may be lost with no sink or failed I/O. Arbitrary null dereference, double free or corruption needs sanitizer/panic tooling, not a log macro.","Inject queue exhaustion, provider failure and missing sink; verify error records without secrets. Run TRACE-on/off profiles and separate sanitizer and target crash-recovery tests. Record toolchain, command, result and remaining limitations."
V01,Build-selected product identity,Shared build,"S04, T01",Passed,Pending,Product enum/profile tests and invalid-build check,make verify PRODUCT=base|ai; invalid PRODUCT fails; Product::name/version identify build.
AI01,Base provider exclusion,Future AI,"S04, H09, T01",Passed,Pending,tests/cpp/test_product.cpp: base branch,Base begin returns Disabled and fake provider receives zero starts.
AI02,Consented interaction admission,Future AI,"H09, B02, H10",Partial,Pending,Controller tests pass; consent propagation and audio capture gate pending,Reject missing consent/offline before start; active session rejects a second start.
AI03,Correlated completion and timeout,Future AI,"H09, T01",Passed,Pending,tests/cpp/test_product.cpp: timeout and completion checks,"Reject wrong, duplicate and late IDs; expire at 30000 monotonic milliseconds."
AI04,Resident cancellation and privacy revocation,Future AI,"H09, H10, H11, B02",Partial,Pending,Controller cancellation tested; physical and privacy wiring pending,Controller cancels pending provider; physical cancel and consent withdrawal stop recording/playback.
